sampleid	XH	Xmap	Ymap	SRY
NA12399	0.000751654	0.4535	0.0193173	36.60
NA12400	0.014372	0.938821	7.00696e-05	0.22
NA12413	6.01305e-05	0.572021	0.00323613	5.14
NA12546	0.000901984	0.57248	0.0347995	83.88
NA12716	0.000871918	0.550207	0.0302155	35.48
NA12717	0.0121772	1.11378	0.000256311	0.00
NA12718	0.0142217	1.02249	0.000273392	0.00
NA12748	0.000992153	0.714589	0.0524072	13.97
NA12749	0.0113964	1.0816	0.000162121	0.00
NA12750	0.00105228	0.537592	0.0337248	55.75
NA12751	0.0148239	1.06614	0.000189182	0.00
NA12761	0.0119363	0.923414	0.000184808	0.00
NA12763	0.0129585	1.03112	0.000170639	0.00
NA12775	0.000661435	0.607568	0.0354608	76.65
NA12776	0.0118174	1.15679	0.000239546	0.00
NA12827	0.00111248	0.62321	0.0381693	80.15
NA12828	0.0122377	1.17175	0.000199232	0.00
NA12829	0.000992183	0.497418	0.0201055	42.74
NA12830	0.0126282	1.33705	0.000683644	0.00
NA12842	0.00102222	0.450014	0.0158291	50.24
NA12878	0.0133502	1.31491	0.00060286	0.00
NA12889	0.000841827	0.463607	0.0176969	59.10
NA12890	0.0124184	0.720034	4.37976e-05	0.00
NA18486	0.00102222	0.460245	0.0175844	56.55
NA18488	0.0195748	1.40115	0.000565982	0.00
NA18489	0.020418	1.3093	0.000449869	0.00
NA18498	0.00141311	0.662493	0.0474527	12.71
NA18499	0.0221293	0.822628	0.000105038	0.00
NA18501	0.00162357	0.432527	0.0172332	45.86
NA18504	0.00141311	0.715677	0.0506164	27.96
NA18505	0.0205953	0.983277	0.000376543	1.13
NA18508	0.0185224	1.12999	0.000355392	1.41
NA18510	0.00111245	0.680441	0.0454315	37.96
NA18516	0.00162357	0.433932	0.0164524	42.64
NA18519	0.000992332	0.683458	0.0485063	15.47
NA18520	0.0202357	0.594687	6.26145e-05	0.00
NA18522	0.0014732	0.461138	0.0160642	55.72
NA18523	0.0204481	1.12674	0.000272361	0.00
NA18526	0.0130792	1.01861	0.000177563	0.00
NA18530	0.000901984	0.597216	0.0361551	78.66
NA18532	0.0118167	1.3553	0.000321654	0.00
NA18534	0.00057124	0.574798	0.0347833	59.41
NA18536	0.000992153	0.576633	0.0350714	73.34
NA18537	0.0113052	1.13829	0.000296771	0.28
NA18543	0.000841852	0.598488	0.0368528	81.10
NA18544	0.000992213	0.5815	0.0343872	61.66
NA18546	0.00102225	0.566643	0.0340269	61.70
NA18547	0.0125086	1.14389	0.000278853	0.00
NA18548	0.00108235	0.574462	0.034425	64.21
NA18549	0.000992183	0.5711	0.0328486	69.40
NA18552	0.0128988	1.09386	0.000248086	0.00
NA18557	0.00114248	0.57362	0.0342889	75.60
NA18559	0.00111245	0.584618	0.0353379	85.80
NA18561	0.000841852	0.574374	0.0323559	74.87
NA18563	0.000841903	0.546734	0.0299318	65.41
NA18566	0.0124775	1.11927	0.000182625	0.00
NA18577	0.0121779	1.09965	0.000242844	0.00
NA18579	0.0139511	1.05858	0.000225715	0.00
NA18582	0.0132904	0.672575	0.000170346	0.00
NA18595	0.0116363	1.12171	0.000291532	0.00
NA18596	0.0104339	1.11263	0.000183417	0.00
NA18597	0.00998256	1.12326	0.000163953	0.00
NA18599	0.0119377	1.08947	0.000226107	0.00
NA18602	0.0113059	1.16692	0.000218851	0.00
NA18603	0.000962146	0.57835	0.0338834	71.35
NA18608	0.000901957	0.582794	0.0348571	65.14
NA18611	0.000871944	0.603471	0.0349839	59.72
NA18612	0.000481073	0.601627	0.036665	77.60
NA18632	0.000992213	0.434634	0.0229739	61.85
NA18633	0.00078172	0.597738	0.0382349	59.67
NA18635	0.000932051	0.589659	0.0357277	62.69
NA18636	0.000992153	0.603684	0.0376094	67.86
NA18637	0.000691521	0.604746	0.0366081	53.53
NA18638	0.000721566	0.72389	0.0507669	22.21
NA18640	0.0112748	1.36561	0.00040433	0.27
NA18641	0.0101323	1.28285	0.000187155	0.00
NA18642	0.0132592	1.19375	0.000367739	0.29
NA18643	0.000871944	0.772632	0.0401822	73.77
NA18645	0.000962117	0.588591	0.0311993	75.46
NA18647	0.00081181	0.829452	0.0444107	71.97
NA18740	0.000992183	0.773544	0.0400495	88.56
NA18745	0.00129284	0.667562	0.0350225	68.91
NA18747	0.000450979	0.690557	0.0377554	98.73
NA18748	0.000932051	0.780392	0.0410203	84.70
NA18749	0.000871892	0.69614	0.0372972	109.91
NA18757	0.000901984	0.656164	0.0345916	93.87
NA18853	0.00108238	0.448621	0.0192506	47.93
NA18856	0.00120268	0.731838	0.0541649	32.97
NA18858	0.0223412	1.15278	0.000183544	0.00
NA18861	0.0199675	1.12833	0.00019152	0.00
NA18867	0.0206579	0.75954	5.92549e-05	0.00
NA18868	0.00138313	0.608266	0.0369264	35.53
NA18870	0.022251	0.824979	7.35548e-05	0.00
NA18871	0.00102228	0.694339	0.0488861	21.05
NA18873	0.0205395	0.851024	4.55035e-05	0.22
NA18874	0.00117265	0.705593	0.0510314	14.64
NA18907	0.0212913	1.05021	0.000219794	0.00
NA18908	0.00111245	0.423495	0.0160148	45.09
NA18910	0.00114255	0.483304	0.0228974	41.03
NA18912	0.0221607	0.896094	4.80683e-05	0.00
NA18916	0.0197258	1.12449	0.000245526	0.00
NA18917	0.00147324	0.555268	0.0332224	26.55
NA18923	0.00135302	0.569329	0.0320333	25.86
NA18924	0.0202087	1.14439	0.000273174	0.00
NA18933	0.0202676	1.11166	0.000200559	0.00
NA18934	0.00132299	0.642867	0.0402897	27.81
NA18943	0.000871944	0.601379	0.0367623	78.72
NA18948	0.00120265	0.560113	0.0333783	71.15
NA18950	0.0110961	1.41558	0.00062546	0.00
NA18951	0.01347	1.11228	0.000239197	0.00
NA18952	0.000330738	0.572915	0.0341978	77.13
NA18953	0.000721609	0.450964	0.0166793	66.59
NA18959	0.00057124	0.445676	0.0171295	48.29
NA18960	0.000901984	0.504881	0.0225815	53.45
NA18961	0.000932051	0.432854	0.0159379	36.35
NA18964	0.0113954	0.858579	4.11059e-05	0.00
NA18965	0.00102228	0.856961	0.0492558	92.09
NA18966	0.00126282	0.575819	0.0368968	41.11
NA18967	0.000871918	0.593255	0.0355022	31.68
NA18968	0.0116069	1.04276	0.000188187	0.00
NA18969	0.0123583	1.08753	0.00027874	0.00
NA18970	0.00078172	0.583515	0.0339993	31.69
NA18971	0.00111241	0.592524	0.0348786	35.66
NA18972	0.0133205	1.0388	0.000216171	0.00
NA18973	0.0112758	1.1252	0.000305622	0.00
NA18974	0.000962117	0.577775	0.0315261	31.91
NA18975	0.0130792	1.05718	0.000207487	0.00
NA18976	0.0116667	1.06193	0.000241103	0.00
NA18978	0.0120866	1.01478	0.000417501	0.39
NA18980	0.0118464	1.15167	0.000302978	0.64
NA18981	0.0110657	1.18062	0.000281305	0.00
NA18982	0.000902011	0.455315	0.0168397	48.42
NA18983	0.00108241	0.440015	0.0166113	51.57
NA18984	0.00102225	0.512607	0.0217061	43.12
NA18985	0.000962117	0.490128	0.0189029	17.92
NA18986	0.00081181	0.433577	0.0170957	40.09
NA18987	0.0128097	1.09459	0.000212553	0.00
NA18988	0.000721609	0.649207	0.0416468	21.79
NA18989	0.000841852	0.455443	0.0157183	46.64
NA18990	0.000751631	0.563723	0.0325318	26.59
NA18991	0.0110049	1.07915	0.000196641	0.00
NA18999	0.0121786	0.883422	7.78931e-05	0.00
NA19000	0.00111248	0.445207	0.0164048	50.17
NA19003	0.0128386	0.803578	4.86307e-05	0.00
NA19006	0.000811859	0.494037	0.0297905	76.93
NA19007	0.00078172	0.488412	0.0204179	48.58
NA19011	0.0110947	0.914153	0.000222244	0.54
NA19012	0.000841827	0.441908	0.0154514	48.65
NA19054	0.0111549	1.00206	0.000501748	0.00
NA19055	0.00105235	0.545288	0.0312777	25.88
NA19056	0.000811786	0.449971	0.0197739	38.08
NA19057	0.0125695	1.28374	0.00493567	0.14
NA19058	0.000811786	0.430687	0.0158323	44.06
NA19059	0.0123282	1.22985	0.00047057	0.00
NA19060	0.000721566	0.449816	0.0162481	63.04
NA19062	0.000841877	0.685309	0.0467348	18.71
NA19063	0.000631389	0.462115	0.0189914	58.28
NA19064	0.0128402	1.28085	0.000435468	0.00
NA19065	0.0123286	0.824133	3.30207e-05	0.00
NA19066	0.00081181	0.477211	0.0209098	55.95
NA19067	0.00129281	0.707855	0.0490148	27.59
NA19070	0.000871892	0.433018	0.0161373	41.35
NA19072	0.00108235	0.577101	0.03391	31.46
NA19074	0.0128995	1.08141	0.000256266	0.00
NA19075	0.00117254	0.574232	0.0332335	30.94
NA19076	0.000571257	0.570949	0.0311009	33.11
NA19077	0.012538	1.14466	0.000285385	0.00
NA19078	0.0135302	0.936497	0.000492381	0.29
NA19079	0.000901984	0.578869	0.0336046	34.50
NA19080	0.0116664	1.11256	0.000258193	0.00
NA19081	0.0125383	1.11365	0.000289652	0.00
NA19082	0.00132291	0.573737	0.0329349	38.22
NA19083	0.00111241	0.623524	0.0383402	32.43
NA19084	0.011186	0.964385	0.000120756	0.00
NA19085	0.00111241	0.564156	0.0320871	33.70
NA19086	0.000541191	0.630048	0.0342063	81.55
NA19087	0.011967	1.18336	0.00021345	0.00
NA19088	0.000932051	0.618674	0.0379266	85.48
NA19089	0.000992183	0.469091	0.0259583	61.73
NA19091	0.000901984	0.461466	0.0252133	59.73
NA19092	0.00162357	0.424561	0.0155817	35.07
NA19098	0.00138304	0.552518	0.0308662	28.58
NA19102	0.0220117	0.858061	6.88078e-05	0.00
NA19108	0.0192134	1.05453	0.000220946	0.18
NA19116	0.021228	0.961442	0.000226762	0.00
NA19119	0.00117258	0.559159	0.0313195	35.26
NA19130	0.00129288	0.460795	0.016142	45.09
NA19131	0.02183	1.0682	0.00022043	0.00
NA19137	0.0210175	0.938434	0.000527215	1.18
NA19138	0.0014732	0.568339	0.0314295	34.09
NA19141	0.00138308	0.551198	0.0298217	36.03
NA19143	0.0204769	0.995066	0.000231382	0.00
NA19144	0.00126282	0.538899	0.029001	27.99
NA19152	0.0217986	1.05846	0.000298045	0.00
NA19153	0.00120272	0.588751	0.0351481	34.74
NA19159	0.0203278	1.07668	0.000241596	0.00
NA19160	0.00144313	0.538734	0.0292831	25.46
NA19171	0.00117261	0.551623	0.031105	47.22
NA19172	0.0200553	0.864672	6.64587e-05	0.00
NA19189	0.00129281	0.559503	0.0338904	85.58
NA19190	0.0216489	1.08917	0.000220361	0.00
NA19197	0.018915	1.06323	0.000243336	0.00
NA19198	0.00117258	0.572567	0.0324145	29.97
NA19200	0.00102237	0.544645	0.0297819	41.44
NA19201	0.0208684	1.04999	0.00019213	0.00
NA19204	0.0217391	1.05058	0.000260022	0.00
NA19206	0.019724	1.03731	0.000229978	0.00
NA19207	0.00165374	0.548452	0.0297832	29.83
NA19209	0.0221915	1.05954	0.000218457	0.00
NA19210	0.00135298	0.570641	0.0318613	37.00
NA19213	0.00138308	0.601823	0.036083	36.51
NA19222	0.0196644	1.28383	0.000550358	0.97
NA19223	0.00135298	0.563956	0.0320852	36.42
NA19225	0.0199062	1.15801	0.00028545	0.00
NA19235	0.0207475	0.829292	8.67723e-05	0.00
NA19236	0.00129296	0.599278	0.0372261	32.33
NA19238	0.0192435	1.03096	0.000740223	0.63
NA19239	0.00171382	0.460358	0.0340503	27.57
NA19247	0.0191544	0.850252	5.63616e-05	0.00
NA19248	0.00135306	0.716378	0.052502	13.66
NA19257	0.0201449	1.08416	0.000197257	0.00
NA20504	0.0141908	1.30264	0.000393057	0.37
NA20506	0.00168381	0.690648	0.000447017	0.86
NA20508	0.0125083	1.15743	0.000450097	0.00
NA20509	0.000962088	0.690824	0.0376845	78.34
NA20510	0.00123267	0.543957	0.0264074	130.25
NA20511	0.00123267	0.484068	0.0272078	54.13
NA20512	0.000932022	0.687042	0.0358839	83.96
NA20513	0.00105228	0.69819	0.0361057	64.61
NA20515	0.000811762	0.664923	0.0352065	92.07
NA20516	0.000601323	0.821057	0.0443258	115.57
NA20517	0.0117863	1.29126	0.000358837	0.87
NA20518	0.000841827	0.735024	0.0394163	86.23
NA20519	0.00114248	0.684734	0.0365429	93.75
NA20520	0.00114248	0.678343	0.0360971	115.44
NA20521	0.000841827	0.688573	0.0372992	68.40
NA20522	0.0129597	1.40183	0.000572637	0.72
NA20524	0.00108235	0.712742	0.0383916	64.32
NA20525	0.00105228	0.709138	0.0392472	74.38
NA20527	0.00126285	0.59098	0.0305727	124.14
NA20528	0.000721566	0.564611	0.0289674	116.36
NA20529	0.0128683	1.12556	0.000512234	1.30
